cob_dt,list_result
23-05-2024,"01,04,05,07,10,32,37,41,46,47,51,55,56,60,62,67,68,72,73,76,82,84,87,89,90,94"
24-05-2024,"02,03,04,09,10,11,12,14,19,21,22,30,46,60,64,65,70,71,77,79,80,81,82,88,98"
25-05-2024,"10,12,15,19,23,29,32,42,43,47,48,50,55,57,63,65,68,75,85,92,93,94,95"
26-05-2024,"08,12,15,33,34,40,52,59,61,67,69,70,72,73,75,78,80,85,88,92,98,99"
27-05-2024,"00,07,08,12,19,20,21,22,32,40,41,46,49,52,56,59,62,63,75,78,85,93,94,98"
28-05-2024,"03,11,12,14,25,29,30,32,35,37,41,43,53,55,57,63,75,79,80,81,90,91,94"
29-05-2024,"00,03,07,09,10,14,20,22,27,30,31,39,42,43,49,50,52,54,65,66,76,81,83,89,96,98"
30-05-2024,"08,12,16,25,26,28,29,30,31,32,38,43,44,48,52,61,62,68,71,84,89,92,96"
31-05-2024,"02,04,09,10,15,17,24,27,28,33,35,37,39,44,49,60,70,72,78,82,85,86,90,92,94"
01-06-2024,"00,01,12,13,19,29,30,39,40,41,45,49,55,59,68,70,77,80,82,83,86,89"
02-06-2024,"00,03,07,08,11,12,13,17,18,27,36,37,38,48,58,66,68,70,72,77,85,90,91,92,94,96,99"
03-06-2024,"03,09,10,12,13,14,15,20,24,25,33,41,45,48,69,76,77,78,79,80,86,88,89,98"
